question,expected_answer,actual_answer,retrieved_context,accuracy_score,hallucination_score,latency_seconds
What is the purpose of the Food Delivery App Customer Support Policy?,"The purpose is to define how customer issues, complaints, inquiries, and feedback are handled, with the objective of providing timely, professional, and effective assistance to customers, restaurant partners, and delivery personnel.","The purpose of the Food Delivery App Customer Support Policy is to define how customer issues, complaints, inquiries, and feedback are handled within the Food Delivery Application. The objective is to provide timely, professional, and effective assistance to customers, restaurant partners, and delivery personnel.",,0,1,23.39
Which support channels are available to customers?,"Customers can contact support through in-app chat support, email support, Help Center/FAQ, contact form, and phone support if available.","Customers can contact support through the following channels:
- In-App Chat Support
- Email Support
- Help Center / FAQ
- Contact Form
- Phone Support (if available)",,0,1,9.59
What is the availability of in-app chat support?,In-app chat support is available 24/7.,In-app chat support is available 24/7.,,1,0,8.73
What is the availability of email support?,Email support is available 24/7.,Email Support is available 24/7.,,1,0,9.73
When is phone support available?,Phone support is available during business hours.,Phone Support is available during Business Hours.,,1,0,9.21
What is the response time for a critical issue?,"Critical issues, such as payment deducted but order not placed, should receive a response within 1 hour.",The response time for a critical issue is within 1 hour.,,0,1,8.16
What is the response time for a high-priority issue?,"High-priority issues, such as order not delivered, should receive a response within 2 hours.",The response time for a high-priority issue is within 2 hours.,,0,1,8.96
What is the response time for a medium-priority issue?,"Medium-priority issues, such as wrong item received, should receive a response within 24 hours.",The response time for a medium-priority issue is within 24 hours.,,0,1,9.43
What is the response time for a low-priority issue?,"Low-priority issues, such as general inquiries, should receive a response within 48 hours.",The response time for a low-priority issue is within 48 hours.,,0,1,9.38
What steps should support take when an order is not delivered?,"Support should verify the order status, contact the delivery partner, provide a delivery update, and issue a refund if required.","Support team will:
1. Verify order status.
2. Contact delivery partner.
3. Provide delivery update.
4. Issue refund if required.",,0,1,9.08
What must customers do when a wrong item is delivered?,Customers should report the issue within 24 hours and upload supporting photos.,Customers should report the wrong item delivered within 24 hours and upload supporting photos.,,0,1,9.36
What resolution options are available for a wrong item delivered?,"Resolution options include refund, replacement, or store credit.","The resolution options available for a wrong item delivered are:
- Refund
- Replacement
- Store Credit",,0,1,8.2
How does support handle missing items?,"Support verifies restaurant order details, investigates delivery records, and processes a partial refund when applicable.","Support will verify restaurant order details, investigate delivery records, and process a partial refund when applicable.",,0,1,8.47
What payment support issues are covered?,"Payment support covers payment failure, duplicate payment, refund status, and wallet balance issues.","Supported issues include:
- Payment failure
- Duplicate payment
- Refund status
- Wallet balance issues",,0,1,8.4
What is the refund timeline for credit card payments?,Credit card refunds take 5–10 business days.,The refund timeline for credit card payments is 5–10 business days.,,0,1,8.93
What is the refund timeline for debit card payments?,Debit card refunds take 5–10 business days.,The refund timeline for debit card payments is 5–10 Business Days.,,0,1,9.51
What is the refund timeline for UPI payments?,UPI refunds take 1–5 business days.,The refund timeline for UPI payments is 1–5 Business Days.,,0,1,8.55
What is the refund timeline for wallet payments?,Wallet refunds take 24 hours.,The refund timeline for wallet payments is 24 hours.,,0,1,8.97
When can customers cancel an order?,Customers may cancel orders before restaurant preparation begins.,Customers may cancel orders before restaurant preparation begins.,,1,0,8.5
What happens if a restaurant cancels an order?,"A full refund will be initiated, and promotional credits may be issued.","If a restaurant cancels an order, a full refund will be initiated, and promotional credits may be issued.",,1,0,8.71
What happens before delivery partner cancellation?,An alternative delivery assignment will be attempted before cancellation.,"Before delivery partner cancellation, an alternative delivery assignment will be attempted.",,0,1,9.46
For which cases may refunds be approved?,"Refunds may be approved for non-delivery, incorrect order, damaged food, duplicate payment, and technical system failures.","Refunds may be approved for the following cases:
- Non-delivery
- Incorrect order
- Damaged food
- Duplicate payment
- Technical system failures",,0,1,9.12
Within how many hours must refund requests be submitted?,Refund requests must be submitted within 48 hours of the order.,Refund requests must be submitted within 48 hours of the order.,,1,0,10.26
What behavior is expected from customers?,"Customers are expected to provide accurate information, communicate respectfully, avoid fraudulent refund claims, and refrain from abusive language toward support agents.","Customers are expected to:
- Provide accurate information.
- Communicate respectfully.
- Avoid fraudulent refund claims.
- Refrain from abusive language toward support agents. 

Violation may result in:
- Warning
- Temporary suspension
- Permanent account termination",,0,1,10.42
What may happen if a customer violates conduct rules?,"Violation may result in a warning, temporary suspension, or permanent account termination.","Violation may result in:
- Warning
- Temporary suspension
- Permanent account termination",,0,1,9.12
What are the escalation levels in the support process?,"The escalation levels are Level 1 Customer Support Agent, Level 2 Senior Support Specialist, Level 3 Customer Experience Manager, and Level 4 Compliance & Legal Team.","The escalation levels in the support process are as follows:

Level 1: Customer Support Agent  
Level 2: Senior Support Specialist  
Level 3: Customer Experience Manager  
Level 4: Compliance & Legal Team  

Escalated cases are reviewed within 72 hours.",,0,1,8.71
Within how many hours are escalated cases reviewed?,Escalated cases are reviewed within 72 hours.,Escalated cases are reviewed within 72 hours.,,1,0,8.21
How is customer information handled for data privacy?,Customer information is handled according to applicable data protection laws and the company privacy policy. Support agents access only the information required to resolve customer issues.,Customer information is handled in accordance with applicable data protection laws and the company privacy policy. Support agents access only the information required to resolve customer issues.,,0,1,10.43
What types of feedback can customers submit?,"Customers may submit app feedback, restaurant feedback, delivery partner feedback, and service quality suggestions.","Customers may submit the following types of feedback:
- App feedback
- Restaurant feedback
- Delivery partner feedback
- Service quality suggestions",,0,1,19.62
What customer support email is listed in the policy?,The listed customer support email is support@fooddeliveryapp.com.,Customer Support Email: [EMAIL],,0,1,8.5
What Help Center address is listed in the policy?,The listed Help Center address is help.fooddeliveryapp.com.,The Help Center address listed in the policy is help.fooddeliveryapp.com.,,0,1,8.21
Which services are recommended for the Food Delivery App architecture?,"The recommended services are User Service, Order Service, Restaurant Service, Delivery Service, Payment Service, Notification Service, Customer Support Service, AI Chatbot Service, and Analytics Service.","The recommended services for the Food Delivery App architecture are:

1. User Service
2. Order Service
3. Restaurant Service
4. Delivery Service
5. Payment Service
6. Notification Service
7. Customer Support Service
8. AI Chatbot Service
9. Analytics Service",,0,1,8.89
Why should customer support be implemented as a microservice?,"Implementing customer support as a microservice enables scalable support ticket management, AI-assisted customer service, and automated refund workflows.","I am sorry, I could not find any information regarding your query in the Food Delivery Policy.",,0,1,12.5
